fips,median_household_income_2017,density_2010
12003,59506,46.3
12005,50283,222.6
12007,46106,97
12009,51536,535
12011,54895,1444.9
12013,36237,25.8
12015,46511,235.2
12017,40574,242.8
12019,61971,315.8
12021,62407,160.9
12023,43504,84.7
12027,35435,54.7
12029,35910,23.3
12031,51296,1133.9
12033,47361,453.4
12035,51049,197.1
12037,41267,21.6
12039,39830,89.8
12041,42934,48.4
12043,37385,16
12045,44647,28.1
12047,36209,28.8
12049,39063,43.5
12051,37966,34
12053,44324,365.6
12055,36374,97.2
12057,53742,1204.9
12059,37474,41.6
12061,49009,274.5
12063,36944,54.2
12065,47599,24.7
12067,41512,16.3
12069,49734,316.6
12071,52052,788.7
12073,49941,413.1
12075,36554,36.5
12077,36741,10
12079,31816,27.6
12081,53408,434.5
12083,41964,209.1
12085,55588,269.2
12086,46338,1315.5
12087,63030,74.3
12089,64294,113
12091,59955,194.4
12093,39059,52
12095,51586,1268.5
12097,47343,202.4
12099,57256,670.2
12101,48289,622.2
12103,48968,3347.5
12105,45988,334.9
12107,33619,102.2
12109,73640,316.4
12111,47132,485.7
12113,62731,149.6
12115,55236,682.6
12117,60739,1367
12119,54771,170.8
12121,40600,60.3
12123,37188,21.6
12125,37460,63.8
12127,43838,449.2
12129,57866,50.8
12131,50619,53
12133,36989,42.7
13001,37089,36
13003,33063,24.7
13005,38824,42.9
13007,43867,10.1
13009,37008,177.3
13011,42182,79.3
13013,56119,432.7
13015,52393,217.9
13017,32344,70.5
13019,38297,42.7
13021,38183,622.8
13023,40688,60.5
13025,36812,41.6
13027,34890,32.9
13029,68589,69.3
13031,39305,104.4
13033,38707,28.2
13035,39655,128.3
13037,29617,23.9
13039,53687,82.4
13043,33125,45.3
13045,46844,221.5
13047,54537,394.3
13049,43257,15.7
13051,52215,621.7
13053,46096,45.3
13055,35718,83
13057,75477,508.3
13059,34557,979.1
13061,23315,16.3
13063,44106,1832.5
13065,21838,8.5
13067,72004,2026.4
13069,36572,73.7
13071,34503,83.6
13073,74162,427.6
13075,35539,75.8
13077,67570,288.8
13079,41032,38.9
